source,detector
1,1
1,3
1,9
2,1
2,2
3,1
3,2
3,3
4,2
4,4
4,5
4,17
5,2
5,5
5,6
5,18
6,4
6,5
6,7
7,5
7,6
7,7
7,8
7,19
8,7
8,8
8,20
9,9
9,10
10,3
10,9
10,10
11,10
11,11
11,12
11,21
12,10
12,12
12,13
12,22
13,3
13,4
13,11
14,11
14,12
14,14
15,12
15,13
15,14
15,15
15,23
16,14
16,15
16,24
